no,legacy_screen,module,legacy_path,actions,fields_filters,tables_columns,business_validation,status_audit_offline,outputs_acceptance
1,Data Supplier,Master Supplier,Menu Utama > Supplier,Pertama; Sebelum; Berikut; Terakhir; Tambah; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cetak; Riwayat Audit; Buka Daftar (padanan ikon Data/buka); Kembali (padanan Ke Menu),Kode Supplier; Status; Nama Supplier; Termin Pembayaran; Alamat; Wilayah; No. Telepon; No. Rekening; Atas Nama; Bank; Alamat Bank; Saldo Hutang,"Tidak ada grid utama pada layar ini; komponen utama: Identitas Supplier, Kontrol Relasi & Saldo. Daftar terkait tetap wajib tersedia melalui tombol/panel yang ditentukan.",Kode supplier wajib dipertahankan sebagai teks tiga karakter; termin menjadi dasar jatuh tempo; saldo hutang bersifat baca-saja dan direkonsiliasi. Duplikasi serta perubahan rekening/bank memerlukan validasi dan otorisasi. Master berhistori tidak boleh dihapus fisik.,"Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Cetak detail dan daftar supplier, riwayat audit, serta ekspor master bila diizinkan; bukti minimal berupa kode supplier, status akhir, waktu, pengguna, dan alasan perubahan. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
2,Membuka Daftar Supplier,Master Supplier,Data Supplier > ikon buka daftar,Pertama; Sebelum; Berikut; Terakhir; Tambah; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cetak; Riwayat Audit; Tutup Daftar (padanan ikon tutup); Kembali (padanan Ke Menu),"Kode Supplier; Status; Nama Supplier; Termin Pembayaran; Alamat; Wilayah; No. Telepon; No. Rekening; Atas Nama; Bank; Alamat Bank; Saldo Hutang; Cari kode, nama, alamat, wilayah...; Urut: Kode; Urut: Nama; Urut: Wilayah","Grid 1: Kode, Nama Supplier, Wilayah, Termin, Telepon, Status","Membuka daftar hanya mengubah mode presentasi. Pemilihan baris harus mengubah record aktif pada detail tanpa menyimpan perubahan. Pengurutan, pencarian, jumlah record, status aktif/nonaktif, dan kecocokan grid-detail wajib konsisten.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Daftar supplier dapat dicetak/diekspor dengan filter dan urutan yang sama; bukti pemilihan berupa kode record aktif dan jumlah hasil. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
3,Menutup Daftar Supplier,Master Supplier,Data Supplier > ikon tutup daftar,Pertama; Sebelum; Berikut; Terakhir; Tambah; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cetak; Riwayat Audit; Tutup Daftar (padanan ikon tutup); Kembali (padanan Ke Menu),"Kode Supplier; Status; Nama Supplier; Termin Pembayaran; Alamat; Wilayah; No. Telepon; No. Rekening; Atas Nama; Bank; Alamat Bank; Saldo Hutang; Cari kode, nama, alamat, wilayah...; Urut: Kode; Urut: Nama; Urut: Wilayah","Grid 1: Kode, Nama Supplier, Wilayah, Termin, Telepon, Status","Menutup daftar tidak boleh mengubah record, saldo, atau status. Sistem wajib mempertahankan record terakhir yang dipilih dan memperingatkan pengguna bila masih terdapat perubahan yang belum disimpan.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Tidak menghasilkan transaksi baru. Bukti yang diterima adalah record terpilih tetap sama dan tidak ada perubahan data setelah panel ditutup. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
4,Data Customer,Master Customer,Menu Utama > Customer,Pertama; Sebelum; Berikut; Terakhir; Tambah; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cetak; Riwayat Audit; Buka Daftar (padanan ikon Data/buka); Kembali (padanan Ke Menu),Kode Customer; Status; Nama Customer; Termin Pembayaran; Alamat; Wilayah; No. Telepon; Diskon Default; No. Rekening; Atas Nama; Bank; Saldo Piutang,"Tidak ada grid utama pada layar ini; komponen utama: Identitas Customer, Kontrol Relasi & Saldo. Daftar terkait tetap wajib tersedia melalui tombol/panel yang ditentukan.","Kode customer wajib dipertahankan sebagai teks lima karakter. Termin, diskon, rekening, dan saldo piutang dikendalikan dengan hak akses. Perubahan master berlaku ke depan; snapshot customer pada faktur historis tidak boleh ditulis ulang.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Cetak detail/daftar customer dan audit perubahan; ekspor mengikuti hak akses piutang, diskon, dan rekening. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
5,Membuka Daftar Customer,Master Customer,Data Customer > ikon buka daftar,Pertama; Sebelum; Berikut; Terakhir; Tambah; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cetak; Riwayat Audit; Tutup Daftar (padanan ikon tutup); Kembali (padanan Ke Menu),"Kode Customer; Status; Nama Customer; Termin Pembayaran; Alamat; Wilayah; No. Telepon; Diskon Default; No. Rekening; Atas Nama; Bank; Saldo Piutang; Cari kode, nama, alamat, wilayah...; Urut: Kode; Urut: Nama; Urut: Wilayah","Grid 1: Kode, Nama Customer, Wilayah, Termin, Piutang, Status","Daftar customer harus mendukung pemilihan, pencarian, pengurutan kode/nama/wilayah, jumlah record, dan verifikasi detail. Kode duplikat tidak boleh digabung otomatis; seluruh histori harus ditelaah melalui proses cleansing yang diaudit.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Daftar customer dapat dicetak/diekspor dengan filter, urutan, dan jumlah record; exception duplikasi masuk daftar cleansing. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
6,Menutup Daftar Customer,Master Customer,Data Customer > ikon tutup daftar,Pertama; Sebelum; Berikut; Terakhir; Tambah; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cetak; Riwayat Audit; Tutup Daftar (padanan ikon tutup); Kembali (padanan Ke Menu),"Kode Customer; Status; Nama Customer; Termin Pembayaran; Alamat; Wilayah; No. Telepon; Diskon Default; No. Rekening; Atas Nama; Bank; Saldo Piutang; Cari kode, nama, alamat, wilayah...; Urut: Kode; Urut: Nama; Urut: Wilayah","Grid 1: Kode, Nama Customer, Wilayah, Termin, Piutang, Status","Menutup panel daftar hanya mengubah tata letak. Record terpilih harus tetap sama, perubahan belum disimpan harus dikonfirmasi, dan tindakan ini tidak boleh memicu create, update, delete, posting, atau perubahan piutang.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Tidak menghasilkan transaksi baru; bukti adalah record terpilih dan saldo tetap sama setelah panel ditutup. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
7,Data Sales atau Penjual Keliling,Master Sales,Menu Utama > Sales,Pertama; Sebelum; Berikut; Terakhir; Tambah; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cari Perkiraan; Cetak; Muat Ulang; Kembali (padanan Ke Menu),Kode Sales; Status; Nama Sales; No. Perkiraan; Wilayah Utama; Target Bulanan; Ponsel; Jumlah Customer; Cari kode atau nama sales,"Grid 1: Kode, Nama Sales, No. Perkiraan, Status, Beban Penagihan","Kode sales legacy dua karakter, nama sales, dan nomor perkiraan wajib dipertahankan. Nomor perkiraan harus mengacu ke akun valid; sales berhistori dinonaktifkan, bukan dihapus. Sales pada faktur dan piutang historis tetap menjadi snapshot.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Cetak/ekspor daftar sales dan mapping perkiraan; audit aktivasi/nonaktif serta perubahan target/wilayah. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
8,Data Stok Barang,Persediaan,Menu Utama > Stok Barang,Pertama; Sebelum; Berikut; Terakhir; Tambah Barang; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cetak Stok; Barang Kedaluwarsa; Stok Opname; Harga Beli & Jual; Muat Ulang; Kembali (padanan Ke Menu),Cari kode / nama barang; Gudang; Tanggal acuan; Filter Semua; Stok minimum; Stok negatif; Stok tersedia,"Grid 1: Kode, Nama Barang, Sat, Hrg Beli, Awal, Pembelian, Penjualan, Akhir, Total Harga, Min","Saldo stok merupakan hasil ledger, bukan angka yang dapat diedit bebas. Kesetaraan legacy mencakup AWAL + MASUK - ABS(KELUAR), batch, expiry, stok minimum, harga, nilai, serta penanda stok nol/negatif/tersedia. Koreksi dilakukan melalui opname/adjustment beralasan.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Preview/cetak/PDF/Excel daftar stok, tautan ke expiry, opname, dan analisis harga. Total kuantitas dan nilai harus sama dengan ledger pada cut-off. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
9,Laporan Opname,Stok Opname,Stok Barang > Laporan Opname,Buat Sesi Opname; Input Fisik; Impor Hasil Hitung; Validasi Selisih; Posting Penyesuaian; Cetak; Ekspor Excel; Muat Ulang; Kembali (padanan Ke Menu),Tanggal awal (Dari); Tanggal akhir (Sampai); Gudang; Cari kode / nama barang; Semua selisih; Hanya berbeda; Belum disetujui,"Grid 1: Tgl Opname, Kode, Nama Barang, Sat, Stok Komp., Stok Fisik, Selisih, Hrg Pokok, Total Harga","Opname harus memakai sesi dan cut-off yang jelas, membekukan atau mengendalikan pergerakan selama penghitungan, mencegah hitung ganda, menerima input/impor fisik, menghitung selisih, lalu membuat penyesuaian hanya setelah validasi dan persetujuan.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Worksheet hitung, laporan selisih, daftar approval, adjustment reference, PDF, dan Excel; semua terkait satu session ID opname. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
10,Mencetak Laporan Opname,Stok Opname,Laporan Opname > Cetak,Halaman Pertama; Sebelum; Berikut; Terakhir; Zoom 100%; Cetak; Unduh PDF; Ekspor Excel; Simpan Snapshot; Riwayat Cetak; Kembali (padanan Ke Menu),Periode; Gudang / Pihak; Versi snapshot; Penanda,"Grid 1: No., #Brg, Nama Barang, Sat, St.Komp, St.Fisik, Selisih, Hrg.Pokok, Total","Cetakan opname wajib berasal dari snapshot dan parameter yang sama dengan layar. Semua kolom, total, periode, gudang, versi, nomor halaman, petugas hitung, pemeriksa, dan persetujuan harus dapat dibaca serta ditelusuri pada reprint.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Cetak fisik, PDF, Excel, snapshot, dan riwayat reprint dengan parameter, versi, total, serta ruang tanda tangan. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
