No,Layar_Legacy,Target_Modern,Reuse_Existing,Pekerjaan_Baru,Aksi_API_Utama,Target_Windows,Target_Android,Target_Offline,Hak_Admin,Hak_Pemilik_Sales_Inventory,Hak_Sales_Keliling,Evidence_Minimum
1,Data Supplier,Master Supplier,Belum ada workspace supplier penuh; reuse selector supplier pada Kulakan dan audit PemasokProduk/Penyedia existing,Buat Master Supplier + detail + status aktif/nonaktif,si_supplier_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 01"
2,Membuka Daftar Supplier,Daftar Supplier,Reuse pola tabel/paging AppShell dan picker supplier Kulakan,"Daftar search-first, filter, sort, pilih record tanpa menyimpan",si_supplier_list,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 02"
3,Menutup Daftar Supplier,Detail Supplier,Reuse responsive master-detail shell,Tutup panel daftar tanpa mengubah record/draft,client_ui_state,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 03"
4,Data Customer,Master Customer,Reuse AnggotaScreen/AnggotaKoperasi setelah audit semantik,"Tambahkan profil customer sales: termin, diskon, limit, area, sales, saldo",si_customer_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 04"
5,Membuka Daftar Customer,Daftar Customer,Reuse pencarian anggota dan paging,Search nama/kode/telepon/alamat; grid/card responsif,si_customer_list,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 05"
6,Menutup Daftar Customer,Detail Customer,Reuse responsive master-detail shell,Pertahankan record terpilih dan unsaved-change guard,client_ui_state,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat terbatas bila diperlukan; tidak boleh mengubah master/global,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 06"
7,Data Sales atau Penjual Keliling,Master Sales,"Baru; relasikan ke Tbmuser, Toko, Tbmrole","CRUD Sales, area, target, akun, status, user login",si_sales_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Lihat profil sendiri; perubahan oleh Pemilik/Admin,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 07"
8,Data Stok Barang,Persediaan & Kartu Stok,"Reuse ProdukScreen, stok_dashboard, mutasi stok",Saldo per lokasi termasuk Stok Mobil Sales; batch/expiry/HPP,si_inventory_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 08"
9,Laporan Opname,Stok Opname,Reuse StokOpnameScreen dan so_* API,Tambah filter sales mobile stock dan session linkage,so_* / si_stock_count_*,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 09"
10,Mencetak Laporan Opname,Cetak Opname,Reuse PDF/printing,"PDF, Excel, berita acara, tanda tangan, audit reprint",si_stock_count_report,Wajib operasional,Wajib operasional atau adaptasi kartu/PDF tanpa kehilangan fungsi,Draft/cache/outbox; posting/close mengikuti kebijakan risiko,Penuh,Penuh sesuai scope toko/tenant,Terbatas pada data/sesi sendiri,"API+DB, widget/golden Windows, widget/golden Android, offline/retry, RBAC, print/export, UAT layar 10"
